Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
United Kingdom,2017,1.1557206537890043,2.44,1.75,4515.59,9.81,46372.39,3063306948134.75,13.76,0.42,32,97.5,81.26,3.8,1.66,22.61,90.42,4.25,7.77,7.94,32.6,83.22,4.96,-2305863371,93,39,54
United Kingdom,2018,1.0512039660056658,1.71,1.09,4830.18,9.9,46878.13,3115536975578.92,13.34,0.66,32.15,97.5,81.26,3.8,1.7,22.32,90.69,3.87,8.08,7.91,33.7,83.55,5,-42552872,93,39,54
United Kingdom,2019,1.3517824773413896,1.6,1.03,5087.38,10.15,47362.26,3165519804705.84,13.55,0.58,32,97.5,81.2,3.8,1.71,23.08,92.52,4,7.57,7.67,32.8,83.55,5.17,3513640421,93,39,54
United States,2015,0.43272727272727274,2.71,1.95,9392.07,16.52,58427.55,18739994325953.2,13.55,0.24,19.35,83.75,78.69,5.8,2.78,21.38,74.55,9.44,13.78,5.38,41.2,83.59,9.89,9364521715,83,33,50
United States,2016,0.6054945054945055,1.67,0.93,9775,16.84,58972.9,19052478498375.3,13.15,0.3,19.17,83.75,78.54,5.7,2.85,22.41,85.54,9.65,14.06,5.5,41.1,83.59,9.62,5880240143,83,33,50
United States,2017,-0.027659574468085122,2.24,1.6,10103.09,16.81,59914.78,19479620055999.9,13.86,0.44,19.35,83.75,78.54,5.7,2.9,19.26,87.27,9.48,14.28,5.69,41.2,83.59,9.36,15842319524,83,33,50
United States,2018,0.18484848484848485,2.95,2.4,10515.32,16.69,61355.65,20053369830317.9,13.15,0.67,23.5,91.25,78.64,5.6,3,18.47,88.5,8.9,13.6,5.69,41.4,83.57,9.35,-42552872,83,33,50
United States,2019,0.03185840707964602,2.29,1.83,10921.01,16.77,62478.25,20513482184099.1,13.38,0.57,23.43,91.25,78.79,5.5,3.17,18.67,89.43,8.74,12.93,6.25,41.5,84,9.6,3513640421,83,33,50
Uzbekistan,2015,2.0785714285714283,7.22,5.36,320.15,4.99,6401.12,200347863521.28,22.37,7.72,16,64.38,70.48,17.1,0.16,1.54,42.8,0.11,3.02,8.74,35,61.68,10.42,-283319904,12,2,10
Uzbekistan,2016,2.178048780487805,5.93,4.11,324.62,4.97,6663.95,212232800909.81,23.09,7.15,16,64.38,70.76,16.1,0.17,1.54,46.79,0.11,2.6,7.74,27.2,62.09,10.44,-360645533,12,2,10
Uzbekistan,2017,-2.011267605633803,4.4,2.65,335.39,5.08,6840.71,221561015372.15,22.52,13.4,16,64.38,71.01,15.2,0.15,1.54,48.7,0.11,2.6,6.69,27.5,66.61,10.59,-140757452,12,2,10
Uzbekistan,2018,2.3137931034482757,5.35,3.54,372.38,5.3,7082.93,233425600850.83,21.82,20.53,16,64.38,71.15,14.4,0.12,0.45,55.2,0.11,2.05,5.69,27.8,67.75,10.98,-309258532,12,2,10
Uzbekistan,2019,2.78,5.71,3.74,418.01,5.62,7348.15,246753344170.94,25.59,13.16,16,67.5,71.34,13.8,0.11,0.72,70.4,0.12,3.02,5.34,48.2,69.88,10.47,-491267936,12,2,10
Vietnam,2015,2.4416851441241683,6.99,5.88,344.96,4.57,8091.09,745928907792.47,17.12,4.23,24.3,76.25,73.88,17.5,0.44,36.37,45,29.37,21.13,14.78,36,62.6,7.89,25682521068,19,4,15
Vietnam,2016,2.5781512605042014,6.69,5.62,371.98,4.52,8545.7,795831620448.52,15.6,3.37,26.72,78.75,73.94,17.3,0.53,38.06,53,31.24,22.59,0.82,35.3,65.29,8.77,29761020821,19,4,15
Vietnam,2017,2.715536723163842,6.94,5.91,423.98,4.71,9050.69,851063829337.7,15.09,4.05,26.72,78.75,73.96,17.1,0.53,41.74,58.14,33.45,25.01,8.61,35.7,66.98,8.38,32206775336,19,4,15
Vietnam,2018,1.8217557251908396,7.46,6.47,493.99,5.03,9636.01,914595669793.04,16.09,4.41,26.72,78.75,73.98,17,0.53,40.75,69.85,33.76,23.81,7.04,35.7,68.57,8.82,34791077988,19,4,15
Vietnam,2019,2.4293051359516613,7.36,6.39,558.87,5.25,10252,981903335145.62,14.03,3.39,26.72,78.75,74.09,16.8,0.53,40.43,68.66,35.01,25.65,7.74,35.3,69.77,8.38,46898768284,19,4,15
Zimbabwe,2015,0.14199999999999996,2.02,-0.13,199.68,7.45,2313.88,32752805149.4,29.47,4.57,31.48,86.88,59.59,42.1,0.12,3.28,22.74,0.09,4.84,0.68,44.3,47.8,229.85,-144362608,28,11,17
Zimbabwe,2016,1.2,0.9,-1.18,215.4,7.68,2286.62,33047893314.84,23.53,4.47,31.48,86.88,60.31,40.6,0.27,5.16,23.12,0.08,3.65,0.7,44.3,47.79,184.08,-136741763,28,11,17
Zimbabwe,2017,-1.8711111111111112,4.08,1.97,226.21,7.47,2331.78,34396334576.58,20.87,6.04,32.58,86.88,60.71,39.5,0.14,2.59,24.4,0.04,4.64,2.91,44.3,48.59,138.56,-149058818,28,11,17
Zimbabwe,2018,1.709375,5.01,2.91,269.2,8.68,2399.62,36119545117.2,19.04,6.09,31.48,86.88,61.41,38,0.12,2.06,25,0.02,2.75,1.89,44.3,50.51,140.18,-141744369,28,11,17
Zimbabwe,2019,1.0035714285714286,-6.33,-8.18,208.41,7.7,2203.4,33832294280.19,20.87,5.33,31.85,86.88,61.29,37.1,0.14,4.95,25.1,0.03,2.26,4.88,50.3,54.47,176.15,-147140438,28,11,17
