Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Georgia,2019,0.9745664739884393,4.98,5.16,970.2,6.66,14989.26,55762453626.52,13.36,0.63,14.77,85.63,73.47,8.6,0.28,2.56,68.85,0.4,4.45,2.47,35.9,83.73,6.14,-546529911,58,22,36
Germany,2015,1.9777414075286415,1.49,0.62,5356.61,11.18,51159.3,4179029631006.81,11,0.08,36.45,94.38,80.64,3.3,2.93,17.82,87.59,4.65,8.44,8.07,31.4,79.5,2.58,76892833400,94,39,55
Germany,2016,1.8935185185185184,2.23,1.41,5694.91,11.24,51879.67,4272221986254.43,10.91,0.06,36.45,94.38,80.99,3.3,2.94,18.08,84.17,4.71,8.5,8.72,31.4,79.55,2.59,70357762554,94,39,55
Germany,2017,1.0539515279241307,2.68,2.3,6028.25,11.33,53071.46,4386727409191.68,11.03,0.07,30.75,94.38,80.99,3.3,3.05,15.81,84.39,4.96,8.78,9.17,31.9,79.35,2.61,75094461714,94,39,55
Germany,2018,1.384322033898305,0.98,0.68,6500.02,11.45,53431.39,4429771408867.22,11.23,0.09,30.75,97.5,80.89,3.2,3.11,15.74,87.04,4.96,8.55,9.41,31.8,79.35,2.63,77909186817,94,39,55
Germany,2019,1.0137529137529138,1.06,0.83,6738.67,11.7,53874.32,4476576546258.33,11.37,0.09,30.89,97.5,81.29,3.2,3.17,16.38,88.13,4.9,8.37,9.38,31.7,79.71,2.8,73036266728,94,39,55
Greece,2015,1.866412213740458,-0.2,0.46,2148.73,8.07,28260.39,305802337733.1,7.16,0.07,19.67,97.5,81.04,3.8,0.97,12.91,66.83,3.07,4.89,2.54,36,66.92,4.81,678787067,86,35,51
Greece,2016,1.7849056603773583,-0.49,-0.07,2284.26,8.32,28239.92,304312550410.31,8.1,0.09,19.67,97.5,81.39,3.9,1.01,13.71,69.09,3.49,4.67,3.05,35,67.09,5.15,502711493,86,35,51
Greece,2017,2.11900826446281,1.09,1.29,2325.62,8.1,28604.86,307636097252.2,7.17,0.12,18.33,97.5,81.29,3.8,1.15,12.11,69.89,2.78,4.34,2.96,34.4,67.11,5.29,451722737,86,35,51
Greece,2018,2.3362637362637364,1.67,1.87,2360.42,7.96,29141.17,312768785993.5,7.42,0.11,18.67,97.5,81.79,3.7,1.21,12.95,72.24,3.11,4.44,2.79,32.9,67.41,5.6,803163670,86,35,51
